epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1108.96,0.37012,0.38766,0.56956,0.87811,0.99392,1,0.995,0.90841,0.99392,1,0.995,0.91113,0.44712,1.23761,0.67846,1.0153,0.0002576,0.0002576,0.0002576
90,1121.72,0.35943,0.42587,0.55368,0.83418,0.99407,1,0.995,0.9103,0.99407,1,0.995,0.92311,0.44015,1.1479,0.66252,0.99949,0.0002378,0.0002378,0.0002378
91,1134.27,0.29633,0.38666,0.72549,0.82704,0.99407,1,0.995,0.9103,0.99407,1,0.995,0.92311,0.44015,1.1479,0.66252,0.99949,0.000218,0.000218,0.000218
92,1146.85,0.3252,0.39867,0.70834,0.84304,0.99414,1,0.995,0.92324,0.99414,1,0.995,0.92318,0.43333,0.96702,0.65589,0.98919,0.0001982,0.0001982,0.0001982
93,1159.11,0.30187,0.36867,0.67349,0.80082,0.99414,1,0.995,0.92324,0.99414,1,0.995,0.92318,0.43333,0.96702,0.65589,0.98919,0.0001784,0.0001784,0.0001784
94,1171.52,0.2688,0.33901,0.6592,0.81867,0.99432,1,0.995,0.91688,0.99432,1,0.995,0.93509,0.42775,0.83506,0.65697,0.97879,0.0001586,0.0001586,0.0001586
95,1183.75,0.25276,0.33886,0.64198,0.75529,0.99432,1,0.995,0.91688,0.99432,1,0.995,0.93509,0.42775,0.83506,0.65697,0.97879,0.0001388,0.0001388,0.0001388
96,1196.15,0.2925,0.35622,0.698,0.80105,0.99435,1,0.995,0.91331,0.99435,1,0.995,0.93516,0.42686,0.77186,0.64598,0.97532,0.000119,0.000119,0.000119
97,1208.49,0.26035,0.33917,0.63769,0.76629,0.99435,1,0.995,0.91331,0.99435,1,0.995,0.93516,0.42686,0.77186,0.64598,0.97532,9.92e-05,9.92e-05,9.92e-05
98,1220.9,0.27324,0.34601,0.65798,0.80826,0.9944,1,0.995,0.93516,0.9944,1,0.995,0.93516,0.42376,0.77597,0.65654,0.97589,7.94e-05,7.94e-05,7.94e-05
99,1233.11,0.27558,0.33816,0.63293,0.83411,0.9944,1,0.995,0.93516,0.9944,1,0.995,0.93516,0.42376,0.77597,0.65654,0.97589,5.96e-05,5.96e-05,5.96e-05
100,1245.51,0.26317,0.32686,0.61403,0.79292,0.99435,1,0.995,0.93515,0.99435,1,0.995,0.93509,0.4182,0.80526,0.66376,0.9758,3.98e-05,3.98e-05,3.98e-05
